Zipcode,EstimatedPopulation,TotalWages,Result
3290,4061.0,117355905.0,28898.277517852744
3301,25391.0,639048884.0,25168.32279154031
3302,1096.0,28178610.0,25710.410583941604
3303,51064.0,1180209412.0,23112.357277142408
3304,14258.0,480064634.0,33669.84387712162
3307,9328.0,218429802.0,23416.57397084048
3431,93410.0,2191861295.0,23464.9533775827
3440,2376.0,49393796.0,20788.63468013468
3442,1189.0,24912534.0,20952.50967199327
3443,635.0,15755417.0,24811.68031496063
3444,1417.0,32765403.0,23123.079040225828
3445,2620.0,54583872.0,20833.53893129771
3446,25185.0,553932765.0,21994.550923168554
3447,2092.0,46274444.0,22119.715105162522
3448,701.0,15130666.0,21584.402282453637
3449,1626.0,38875324.0,23908.563345633458
3450,908.0,20498010.0,22574.90088105727
3451,3489.0,70959545.0,20338.075379764974
3452,4742.0,98450760.0,20761.4424293547
3455,1895.0,42897804.0,22637.3635883905
3456,711.0,14490423.0,20380.3417721519
3457,1884.0,42740163.0,22685.86146496815
3458,11410.0,271470752.0,23792.353374233127
3461,4443.0,108922218.0,24515.466576637406
3462,1539.0,46464738.0,30191.512670565302
3464,877.0,18910348.0,21562.54047890536
3465,1881.0,35608792.0,18930.777246145666
3466,3624.0,94946916.0,26199.48013245033
3467,1539.0,38133333.0,24777.994152046784
3469,1418.0,23800716.0,16784.70803949224
3470,8180.0,153796700.0,18801.552567237162
3561,5340.0,94824683.0,17757.43127340824
3570,7523.0,119834295.0,15929.05689219726
3574,2199.0,42075847.0,19134.082310140973
3576,13880.0,227396590.0,16383.03962536023
3579,1254.0,18012342.0,14363.90909090909
3580,2724.0,57637866.0,21159.275330396475
3581,5802.0,111506210.0,19218.58152361255
3582,8556.0,131067760.0,15318.812529219262
3583,1938.0,32506072.0,16772.998968008254
3584,6102.0,111184042.0,18220.918059652573
3585,6840.0,127896240.0,18698.280701754386
3588,3120.0,54416790.0,17441.278846153848
3590,4085.0,52941430.0,12959.958384332926
3592,2006.0,26102466.0,13012.196410767698
3595,587.0,10358332.0,17646.221465076662
3597,1479.0,18618579.0,12588.62677484787
3598,8430.0,132304635.0,15694.5
3602,9128.0,187965964.0,20592.239702015777
3603,9022.0,171440560.0,19002.500554200844
3605,2511.0,47450334.0,18896.986857825566
3608,2572.0,62391765.0,24258.073483670294
3609,1914.0,37188960.0,19429.968652037616
3740,868.0,14528223.0,16737.58410138249
3741,7028.0,157771556.0,22448.997723392145
3743,22446.0,441066048.0,19650.095696337878
3745,1083.0,25492397.0,23538.686057248386
3746,435.0,8587518.0,19741.420689655173
3748,4101.0,108392458.0,26430.738356498416
3750,1061.0,50529367.0,47624.285579641844
3751,491.0,12152939.0,24751.403258655806
3752,727.0,12653044.0,17404.462173314994
3753,3044.0,96652891.0,31751.935282522994
3755,6375.0,290477958.0,45565.169882352944
3766,7995.0,224383104.0,28065.42889305816
3768,1480.0,58926079.0,39814.91824324324
3770,662.0,21377839.0,32292.8081570997
3771,734.0,14233327.0,19391.453678474114
3773,19407.0,366823938.0,18901.6302365126
3774,4491.0,84870651.0,18897.94054776219
3777,1064.0,24973577.0,23471.406954887218
3779,675.0,13820761.0,20475.201481481483
3781,1532.0,47490870.0,30999.262402088774
3782,2498.0,59232836.0,23712.104083266615
3784,6688.0,165028964.0,24675.383373205743
3785,7020.0,118458052.0,16874.36638176638
3801,36418.0,1147287986.0,31503.32214838816
3802,977.0,32478435.0,33243.024564994885
